DoctorID,Name,Specialization,Diseases,Experience,Location,Rating
Doc001,Netra Saxena,Allergist/Immunologist,Allergy,33,Bhopal,2.6
Doc001,Netra Saxena,Allergist/Immunologist,Drug Reaction,33,Bhopal,2.6
Doc002,Gaurang Balan,Infectious Disease Specialist,AIDS,27,Agra,1.7
Doc002,Gaurang Balan,Infectious Disease Specialist,Malaria,27,Agra,1.7
Doc002,Gaurang Balan,Infectious Disease Specialist,Chicken pox,27,Agra,1.7
Doc002,Gaurang Balan,Infectious Disease Specialist,Dengue,27,Agra,1.7
Doc002,Gaurang Balan,Infectious Disease Specialist,Typhoid,27,Agra,1.7
Doc003,Elijah Kohli,Neurologist,Migraine,12,Bangalore,3.4
Doc003,Elijah Kohli,Neurologist,Paralysis (brain hemorrhage),12,Bangalore,3.4
Doc004,Samuel Dhar,Infectious Disease Specialist,AIDS,12,Mumbai,3.1
Doc004,Samuel Dhar,Infectious Disease Specialist,Malaria,12,Mumbai,3.1
Doc004,Samuel Dhar,Infectious Disease Specialist,Chicken pox,12,Mumbai,3.1
Doc004,Samuel Dhar,Infectious Disease Specialist,Dengue,12,Mumbai,3.1
Doc004,Samuel Dhar,Infectious Disease Specialist,Typhoid,12,Mumbai,3.1
Doc005,Hardik Srinivas,Proctologist,Dimorphic hemorrhoids (piles),33,Bangalore,2.0
Doc006,Jalsa Korpal,Urologist,Urinary tract infection,24,Patna,3.7
Doc007,Ranveer Borah,Orthopedic Specialist,Cervical spondylosis,28,Surat,4.8
Doc007,Ranveer Borah,Orthopedic Specialist,Osteoarthritis,28,Surat,4.8
Doc008,Guneet Borra,Infectious Disease Specialist,AIDS,34,Ludhiana,2.9
Doc008,Guneet Borra,Infectious Disease Specialist,Malaria,34,Ludhiana,2.9
Doc008,Guneet Borra,Infectious Disease Specialist,Chicken pox,34,Ludhiana,2.9
Doc008,Guneet Borra,Infectious Disease Specialist,Dengue,34,Ludhiana,2.9
Doc008,Guneet Borra,Infectious Disease Specialist,Typhoid,34,Ludhiana,2.9
Doc009,Urmi Kale,Vascular Surgeon,Varicose veins,7,Delhi,1.0
