DoctorID,Name,Specialization,Diseases,Experience,Location,Rating
Doc001,Netra Saxena,Allergist/Immunologist,"Allergy, Drug Reaction",33,Bhopal,2.6
Doc002,Gaurang Balan,Infectious Disease Specialist,"AIDS, Malaria, Chicken pox, Dengue, Typhoid",27,Agra,1.7
Doc003,Elijah Kohli,Neurologist,"Migraine, Paralysis (brain hemorrhage)",12,Bangalore,3.4
Doc004,Samuel Dhar,Infectious Disease Specialist,"AIDS, Malaria, Chicken pox, Dengue, Typhoid",12,Mumbai,3.1
Doc005,Hardik Srinivas,Proctologist,Dimorphic hemorrhoids (piles),33,Bangalore,2
Doc006,Jalsa Korpal,Urologist,Urinary tract infection,24,Patna,3.7
Doc007,Ranveer Borah,Orthopedic Specialist,"Cervical spondylosis, Osteoarthritis",28,Surat,4.8
Doc008,Guneet Borra,Infectious Disease Specialist,"AIDS, Malaria, Chicken pox, Dengue, Typhoid",34,Ludhiana,2.9
Doc009,Urmi Kale,Vascular Surgeon,Varicose veins,7,Delhi,1
Doc010,Peter Tiwari,Rheumatologist,Arthritis,11,Lucknow,4.8
Doc011,Jeevika Patil,Endocrinologist,"Diabetes, Hypothyroidism, Hyperthyroidism, Hypoglycemia",10,Kolkata,2.8
Doc012,Mugdha Kalita,ENT Specialist,"Common Cold, (vertigo) Paroxysmal Positional Vertigo",10,Surat,1.7
Doc013,Anay Bal,Rheumatologist,Arthritis,12,Agra,2.9
Doc014,Bhavna Pingle,Rheumatologist,Arthritis,30,Surat,3.8
Doc015,Arunima Vala,Neurologist,"Migraine, Paralysis (brain hemorrhage)",15,Nagpur,4.1
Doc016,Madhavi Dhawan,Hepatologist,"Chronic cholestasis, Jaundice, hepatitis A, Hepatitis B, Hepatitis C, Hepatitis D, Hepatitis E, Alcoholic hepatitis",37,Kanpur,1.1
Doc017,Chandani Sha,Dermatologist,"Fungal infection, Acne, Psoriasis, Impetigo",12,Hyderabad,1.6
Doc018,Shaurya Dey,Dermatologist,"Fungal infection, Acne, Psoriasis, Impetigo",19,Indore,3.6
Doc019,Nikita Bahri,Allergist/Immunologist,"Allergy, Drug Reaction",37,Mumbai,4.9
Doc020,Onkar Badami,Vascular Surgeon,Varicose veins,4,Lucknow,3.7
Doc021,Leela Minhas,Gastroenterologist,"GERD, Peptic ulcer disease, Gastroenteritis",17,Ludhiana,3.2
Doc022,Diya Gulati,Endocrinologist,"Diabetes, Hypothyroidism, Hyperthyroidism, Hypoglycemia",18,Pune,2.2
Doc023,Zayan Swamy,ENT Specialist,"Common Cold, (vertigo) Paroxysmal Positional Vertigo",8,Mumbai,4.7
Doc024,Dev Varty,Allergist/Immunologist,"Allergy, Drug Reaction",10,Bangalore,2.5
Doc025,Krishna Saha,Infectious Disease Specialist,"AIDS, Malaria, Chicken pox, Dengue, Typhoid",21,Delhi,3.2
Doc026,Ekalinga Garg,Pulmonologist,"Bronchial Asthma, Tuberculosis, Pneumonia",32,Indore,3.9
Doc027,Hemang Mand,Infectious Disease Specialist,"AIDS, Malaria, Chicken pox, Dengue, Typhoid",24,Indore,2.1
Doc028,Gautami Verma,Proctologist,Dimorphic hemorrhoids (piles),32,Jaipur,3.6
Doc029,Warinder Bhandari,Dermatologist,"Fungal infection, Acne, Psoriasis, Impetigo",6,Agra,4.3
Doc030,Lakshit Karan,Allergist/Immunologist,"Allergy, Drug Reaction",24,Bhopal,4.3
Doc031,Sathvik Kapadia,Orthopedic Specialist,"Cervical spondylosis, Osteoarthritis",18,Kolkata,3.6
Doc032,Finn Tella,Neurologist,"Migraine, Paralysis (brain hemorrhage)",26,Kolkata,3.1
Doc033,Anita Rastogi,Dermatologist,"Fungal infection, Acne, Psoriasis, Impetigo",7,Ludhiana,4.6
Doc034,Wyatt Dora,Vascular Surgeon,Varicose veins,39,Bangalore,4.7
